InstanceCategory,APIName,InstanceMemory,vCPUs,InstanceStorageCapacity,SSDs,IOPs,SSDBwMb,NetworkPerformance,NetworkBW,MessageRate,OnDemand,LinuxReservedcost,LinuxSpotMinimumcost,WindowsOnDemandcost,WindowsReservedcost
x1e,x1e.8xlarge,976,32,960,1,200000,800,10,1.25,400000,6.672,4.112,2.3411,8.144,5.584
x1e,x1e.4xlarge,488,16,480,1,200000,800,10,1.25,400000,3.336,2.056,1.1816,4.072,2.792
r5ad,r5ad.8xlarge,256,32,1200,2,400000,1600,10,1.25,400000,2.096,1.32,0.9416,3.568,2.792
x1e,x1e.2xlarge,244,8,240,1,200000,800,10,1.25,400000,1.668,1.028,0.6392,2.036,1.396
f1,f1.4xlarge,244,16,940,1,200000,800,10,1.25,400000,3.3,2.231,1.1277,unavailable,unavailable
r5d,r5d.4xlarge,128,16,600,2,400000,1600,10,1.25,400000,1.152,0.726,0.6109,1.888,1.462
m5ad,m5ad.8xlarge,128,32,1200,2,400000,1600,10,1.25,400000,1.648,1.038,0.7422,3.12,2.51
r6gd,r6gd.4xlarge,128,16,950,1,200000,800,10,1.25,400000,1.104,0.6971,0.4927,unavailable,unavailable
r5ad,r5ad.4xlarge,128,16,600,2,400000,1600,10,1.25,400000,1.048,0.66,0.6087,1.784,1.396
i3,i3.4xlarge,122,16,3800,2,400000,1600,10,1.25,400000,1.248,0.857,0.5254,1.984,1.593
x1e,x1e.xlarge,122,4,120,1,200000,800,10,1.25,400000,0.834,0.514,0.2971,1.018,0.698
f1,f1.2xlarge,122,8,470,1,200000,800,10,1.25,400000,1.65,1.116,0.5992,unavailable,unavailable
z1d,z1d.3xlarge,96,12,450,1,200000,800,10,1.25,400000,1.116,0.703,0.4793,1.668,1.255
r5d,r5d.2xlarge,64,8,300,1,200000,800,10,1.25,400000,0.576,0.363,0.3232,0.944,0.731
m6gd,m6gd.4xlarge,64,16,950,1,200000,800,10,1.25,400000,0.872,0.546,0.2748,unavailable,unavailable
r5ad,r5ad.2xlarge,64,8,300,1,200000,800,10,1.25,400000,0.524,0.33,0.2889,0.892,0.698
r6gd,r6gd.2xlarge,64,8,474,1,200000,800,10,1.25,400000,0.552,0.3486,0.2422,unavailable,unavailable
z1d,z1d.2xlarge,64,8,300,1,200000,800,10,1.25,400000,0.744,0.469,0.2929,1.112,0.837
m5ad,m5ad.4xlarge,64,16,600,2,400000,1600,10,1.25,400000,0.824,0.519,0.4194,1.56,1.255
g4ad,g4ad.4xlarge,64,16,600,1,200000,800,10,1.25,400000,0.867,0.5462,0.3858,1.603,1.2822
m5d,m5d.4xlarge,64,16,600,2,400000,1600,10,1.25,400000,0.904,0.57,0.4379,1.64,1.306
i3,i3.2xlarge,61,8,1900,1,200000,800,10,1.25,400000,0.624,0.428,0.2644,0.992,0.796
m5ad,m5ad.2xlarge,32,8,300,1,200000,800,10,1.25,400000,0.412,0.26,0.2836,0.78,0.628
r5ad,r5ad.xlarge,32,4,150,1,200000,800,10,1.25,400000,0.262,0.165,0.1071,0.446,0.349
r5d,r5d.xlarge,32,4,150,1,200000,800,10,1.25,400000,0.288,0.181,0.1483,0.472,0.365
m5d,m5d.2xlarge,32,8,300,1,200000,800,10,1.25,400000,0.452,0.285,0.2439,0.82,0.653
c5d,c5d.4xlarge,32,16,400,1,200000,800,10,1.25,400000,0.768,0.484,0.3428,1.504,1.22
r6gd,r6gd.xlarge,32,4,237,1,200000,800,10,1.25,400000,0.276,0.1743,0.1077,unavailable,unavailable
z1d,z1d.xlarge,32,4,150,1,200000,800,10,1.25,400000,0.372,0.234,0.1438,0.556,0.418
g4ad,g4ad.2xlarge,32,8,300,1,200000,800,10,1.25,400000,0.5412,0.3409,0.2368,0.9092,0.7089
m6gd,m6gd.2xlarge,32,8,474,1,200000,800,10,1.25,400000,0.436,0.273,0.1675,unavailable,unavailable
c5ad,c5ad.4xlarge,32,16,600,2,400000,1600,10,1.25,400000,0.688,0.433,0.3152,1.424,1.169
g5,g5.2xlarge,32,8,450,1,200000,800,10,1.25,400000,1.212,0.7636,0.6162,1.58,1.1316
c6gd,c6gd.4xlarge,32,16,950,1,200000,800,10,1.25,400000,0.712,0.4452,0.2339,unavailable,unavailable
i4i,i4i.xlarge,32,4,937,1,200000,800,10,1.25,400000,0.343,0.223,0.1312,0.527,0.407
i3,i3.xlarge,30.5,4,950,1,200000,800,10,1.25,400000,0.312,0.214,0.1382,0.496,0.398
c5d,c5d.2xlarge,16,8,200,1,200000,800,10,1.25,400000,0.384,0.242,0.1795,0.752,0.61
i4i,i4i.large,16,2,468,1,200000,800,10,1.25,400000,0.172,0.111,0.0648,0.264,0.203
m5d,m5d.xlarge,16,4,150,1,200000,800,10,1.25,400000,0.226,0.142,0.1105,0.41,0.326
m5ad,m5ad.xlarge,16,4,150,1,200000,800,10,1.25,400000,0.206,0.13,0.1151,0.39,0.314
c6gd,c6gd.2xlarge,16,8,474,1,200000,800,10,1.25,400000,0.356,0.2226,0.0764,unavailable,unavailable
g4ad,g4ad.xlarge,16,4,150,1,200000,800,10,1.25,400000,0.3785,0.2385,0.1467,0.5625,0.4225
g5,g5.xlarge,16,4,250,1,200000,800,10,1.25,400000,1.006,0.6338,0.5403,1.19,0.8178
r5d,r5d.large,16,2,75,1,200000,800,10,1.25,400000,0.144,0.091,0.0627,0.236,0.183
r5ad,r5ad.large,16,2,75,1,200000,800,10,1.25,400000,0.131,0.083,0.0571,0.223,0.175
z1d,z1d.large,16,2,75,1,200000,800,10,1.25,400000,0.186,0.117,0.0619,0.278,0.209
m6gd,m6gd.xlarge,16,4,237,1,200000,800,10,1.25,400000,0.218,0.1365,0.0744,unavailable,unavailable
c5ad,c5ad.2xlarge,16,8,300,1,200000,800,10,1.25,400000,0.344,0.217,0.1611,0.712,0.585
r6gd,r6gd.large,16,2,118,1,200000,800,10,1.25,400000,0.138,0.0871,0.0443,unavailable,unavailable
i3,i3.large,15.25,2,475,1,200000,800,10,1.25,400000,0.156,0.107,0.0583,0.248,0.199
